USE,RS,RS_ALT,GEN,SHAPE_LENG,SHAPE_AREA,x,y
4,"01001","010010000000",Flensburg,32467.034276340098586,53248993.976114906370640,9.4398758009,54.7850810608
4,"01002","010020000000",Kiel,73027.302433531804127,121865415.000501006841660,10.1328549169,54.3255083988
4,"01003","010030000000",L�beck,104861.094219781007268,221138618.429653018712997,10.7317158735,53.8727811433
4,"01004","010040000000",Neum�nster,39858.818376309798623,80923633.055189803242683,9.9826541070,54.0800926535
4,"01051","010510000000",Dithmarschen,202206.675707476009848,1450310657.235100269317627,9.1075331790,54.1319002626
4,"01053","010530000000",Herzogtum Lauenburg,199423.068596802040702,1266311280.745399951934814,10.6019743367,53.5886749991
4,"01054","010540000000",Nordfriesland,562570.664330870029517,2153078648.310709953308105,8.8882296580,54.6138686083
4,"01055","010550000000",Ostholstein,290532.102616262971424,1386912933.041870117187500,10.8213812478,54.1908371025
4,"01057","010570000000",Pl�n,179740.047324748011306,1085348925.568399906158447,10.3642927594,54.2431126504
4,"01058","010580000000",Rendsburg-Eckernf�rde,284802.206670538987964,2179272784.613029956817627,9.7805196611,54.2924805292
4,"01059","010590000000",Schleswig-Flensburg,294034.761861162027344,2029564692.975100040435791,9.5090575569,54.6228993070
4,"01060","010600000000",Segeberg,223842.230373111990048,1340375968.765089988708496,10.1425402994,53.9205894455
4,"01061","010610000000",Steinburg,153211.638580983999418,1053262223.018489956855774,9.5145106254,53.9241143576
4,"01062","010620000000",Stormarn,191953.180358189012622,771248576.236881971359253,10.3313951523,53.7212297867
4,"02000","020000000000",Hamburg,175253.847045978007372,760539821.434332013130188,10.0108986161,53.5472916418
4,"03101","031010000000",Braunschweig,63869.800364525501209,197276554.568450987339020,10.5236785628,52.2769532819
4,"03102","031020000000",Salzgitter,84921.827970934187761,225364354.752595990896225,10.3704713123,52.1244119100
4,"03103","031030000000",Wolfsburg,66217.527810067796963,206703198.966722995042801,10.7834561354,52.4101888042
4,"03151","031510000000",Gifhorn,219256.640017767989775,1560956102.454220294952393,10.6049974571,52.5800484595
4,"03152","031520000000",G�ttingen,192879.921706368011655,1122800548.061130046844482,9.9269859232,51.4994908384
