ID;district;year;gva;age;rent;skill;academic;wage;pop;tax;car;spec;area;emp;den;dist;market;tech;hosp;recr;east;waste
1;Flensburg, Stadt;2012;20,34;42,54;5,65;56,91;9,85;2193,46;1470,96;484,33;472,47;13,42;57;56;982,46;5,88;167,08;93,5;10,2;24,1;west;3785,65
2;Kiel, Landeshauptstadt;2012;16,25;41,35;6,48;53,71;15,15;2449,05;2021,63;335,72;415,75;11,91;119;161;1352,94;3,07;440,7;93,22;9,5;28,5;west;927,78
3;Lübeck, Hansestadt;2012;22,47;44,42;6,46;59,62;10,44;2276,87;988,34;301,31;423,47;17,35;214;126;588,79;3,41;172,66;91,14;8,1;55,6;west;1583,59
4;Neumünster, Stadt;2012;24,43;43,9;5,11;62,48;5,5;2248,19;1074,28;460,89;493,48;18,79;72;48;666,67;7,56;88,18;95,59;8,3;47,7;west;8934,78
5;Dithmarschen;2012;34,88;44,74;4,99;64,85;5,35;2149,91;93,11;346,5;547,78;23,09;1428;57;39,92;14,94;2,67;51,4;5,3;58,4;west;1925,94
6;Herzogtum Lauenburg;2012;25,1;44,1;5,61;62,72;8,67;2149,99;148,78;287,69;548,61;22,5;1263;67;53,05;11,02;4,81;87,5;2,9;58,9;west;2362,7
7;Nordfriesland;2012;25,09;44,43;5,31;60,08;5,06;2115,72;77,88;511,99;568,69;18,54;2083;88;42,25;40,57;1,04;48,53;4,5;89,4;west;1052,89
8;Ostholstein;2012;17,49;46,63;5,96;63,38;6,16;2002,63;142,1;272,43;565,77;16,28;1393;86;61,74;9,03;6,84;62,47;8,8;111,2;west;1149,05
9;Pinneberg;2012;30,89;43,99;7,52;59,42;10,29;2389,9;449,87;409,2;531,26;25,62;664;125;188,25;9,97;18,88;82,76;3,2;49,4;west;1131,38
10;Plön;2012;22,15;45,68;5,83;65,33;8,69;1933,45;116,99;333,26;566,72;18,84;1083;42;38,78;17,97;2,16;48,83;1,8;96,9;west;390,49
11;Rendsburg-Eckernförde;2012;19,26;44,18;5,61;63,82;9,43;2124,47;122,61;280,28;573,48;19,1;2186;114;52,15;13,08;3,99;64,82;4,2;79,9;west;1024,64
12;Schleswig-Flensburg;2012;19,91;44,13;5,22;65,5;6,3;1988,35;94,1;268,82;575,87;19,24;2071;79;38,15;16,32;2,34;40,04;3,4;65,2;west;287,33
13;Segeberg;2012;27,93;43,61;7,49;62,2;8,39;2333,94;194,87;439,13;567,01;23,65;1344;117;87,05;7,73;11,26;87,08;6,2;60,8;west;2936,86
14;Steinburg;2012;36,62;44,19;5,31;63,97;6,43;2145,36;123,22;295,87;557,24;23,82;1056;56;53,03;11,07;4,79;88,94;4,9;52,9;west;5923,48
15;Stormarn;2012;28,32;44,29;7,42;60,68;11,63;2397,61;303,95;629,84;578,89;25,14;766;107;139,69;6,41;21,79;85,79;4,9;52,3;west;3884,5
16;Hamburg, Freie und Hansestadt;2012;16,32;41,96;9,27;46,53;18,57;3020,19;2296,14;967,91;421,67;12,72;755;1178;1560,26;6,51;239,67;94,18;6,8;35,2;west;2082,98
17;Braunschweig, Stadt;2012;16,08;43,13;5,56;51,65;22,36;2696,77;1279,07;834,25;490,81;18,63;192;155;807,29;2,36;342,07;88,57;8,2;58,4;west;854,78
18;Salzgitter, Stadt;2012;61,84;45,11;4,85;63,15;5,75;3067,35;438,08;888,09;506,2;48,25;224;56;250;2,96;84,46;79,7;5;73;west;11824,12
19;Wolfsburg, Stadt;2012;72,3;44,16;5,63;58,42;13,22;4162,37;596,71;3632,75;996,21;48,84;204;125;612,75;4,52;135,56;89,22;5,1;75,6;west;792,28
20;Gifhorn;2012;23,13;42,56;5,15;63,56;11,31;2080,13;109,43;259,1;541,23;21,74;1563;55;35,19;24,41;1,44;37,15;2,5;79,5;west;234,34
21;Goslar;2012;29,71;47,03;4,73;66,17;8,49;2189,1;143,64;268,91;540,06;22,87;965;62;64,25;11,79;5,45;69,96;7,6;75,9;west;2678,16
22;Helmstedt;2012;33,52;45,57;4,92;67,03;8,13;2114,35;134,12;79,57;548,53;24,18;674;30;44,51;10,15;4,39;48,82;8,3;67,6;west;7364,73
23;Northeim;2012;33,06;45,89;4,73;68,59;6,71;2177,25;106,88;364,99;592,48;29,17;1267;60;47,36;16,78;2,82;55,25;3,6;87,7;west;1651,91
24;Peine;2012;32,85;43,84;5,1;66,88;8,51;2130,14;243,11;251,25;566,09;25,24;535;44;82,24;7,71;10,67;61,81;2,4;65,7;west;1155,47
25;Wolfenbüttel;2012;31,77;44,94;5,36;63,96;11,83;2018,64;166,24;273,23;561,72;21,07;723;36;49,79;8,63;5,77;52,88;2,6;73,9;west;296,45
26;Göttingen;2012;27,69;43,98;5,28;61,49;15,75;2333,5;184,36;401,68;522,34;21,42;1753;170;96,98;16,63;5,83;63,98;10,6;70,3;west;1146,66
27;Region Hannover;2012;23,58;43,45;6,01;57,65;14,92;2675,33;485,72;740,6;472,98;16,57;2291;639;278,92;9,15;30,48;82,77;6,4;57,2;west;1713,18
28;Diepholz;2012;31,02;44,07;5,51;64,69;7,42;2021,54;105,47;564,56;591,14;24,3;1988;96;48,29;28,99;1,67;53,43;2,3;61,4;west;2285,07
29;Hameln-Pyrmont;2012;33,54;45,93;4,78;64,51;7,8;2355,66;186,57;396,87;567,88;24,55;796;70;87,94;23,81;3,69;58,66;7,1;80,1;west;2610,81
30;Hildesheim;2012;30,62;44,6;5;65,4;10,34;2255,31;228,31;325,37;534,08;25,62;1206;124;102,82;14,08;7,3;59,12;6,7;68,8;west;1315,85
31;Holzminden;2012;48,83;46,05;4,24;67,48;6,72;2299,97;104,62;408,3;580,09;37,13;693;30;43,29;44,69;0,97;51,2;2,8;102,9;west;824,85
32;Nienburg (Weser);2012;30,73;44;4,79;66,53;5,85;2166,88;85,94;320,65;573,49;26,28;1399;54;38,6;32,41;1,19;48,85;2,7;65,4;west;3379,25
33;Schaumburg;2012;31,17;45,38;4,97;67,55;8,23;2041,16;230,97;230,16;584,35;23,68;676;62;91,72;9,15;10,02;52,66;4;51,8;west;1261,76
34;Celle;2012;34,95;44,21;5,33;66,48;7,84;2295,92;113,71;364,61;557,03;25,13;1545;79;51,13;27,24;1,88;51,87;3,9;86,6;west;166,51
35;Cuxhaven;2012;22,26;45,23;5,24;63,76;6,27;1965,37;95,95;203,27;569,04;19,07;2058;71;34,5;13,51;2,55;58,65;3,8;78,4;west;280,82
36;Harburg;2012;18,26;43,92;7,19;62,73;10,92;2076,02;193,22;303,42;604,43;17,15;1245;87;69,88;6,85;10,2;71,48;3,4;72,2;west;1424,68
37;Lüchow-Dannenberg;2012;27,89;46,77;3,94;65,76;6,78;1937,32;40,08;259,61;566,89;23,09;1221;20;16,38;53,59;0,31;36,55;2,3;87,5;west;
38;Lüneburg;2012;19,34;42,35;6,53;60,63;13,66;2134,86;132,71;273,16;517,19;18,57;1324;79;59,67;21,46;2,78;57,59;5;82,5;west;2895,52
39;Osterholz;2012;18,73;44,41;5,5;62,63;9,2;1925,68;170,28;201,69;582,61;18,6;651;39;59,91;13,25;4,52;50,35;2;60,3;west;389,88
40;Rotenburg (Wümme);2012;23,38;42,78;5,29;65,87;6,48;2033,86;78,14;348,15;600,62;21,45;2070;80;38,65;17,85;2,17;37,99;6,4;88,2;west;712,35
41;Heidekreis;2012;24,73;43,95;4,37;65,84;5,78;2117,18;72,46;304,45;572,42;20,35;1874;70;37,35;8,56;4,36;63,32;3,7;121,5;west;1318,89
42;Stade;2012;32,01;42,92;6,46;63,39;9,3;2287,55;154,64;354,7;558,98;23,01;1266;87;68,72;17,09;4,02;64,89;4,4;41,3;west;8608,88
43;Uelzen;2012;20,55;45,62;4,81;66,12;7,21;2024,35;63,82;482,49;552,19;18,13;1454;41;28,2;41,1;0,69;54,38;8,2;90,7;west;823,74
44;Verden;2012;35,14;43,52;5,69;63,33;9,24;2271,32;167,69;522,04;581,86;25,47;788;60;76,14;6,82;11,16;62,76;2;64,6;west;
45;Delmenhorst, Stadt;2012;19,94;44,06;5,18;61,18;5,84;1955,59;1180,05;250,71;507,16;17,09;62;31;500;4,89;102,25;94,82;6,7;26;west;
46;Emden, Stadt;2012;46,73;42,82;5,51;62,85;8,86;2790,36;442,82;1555,85;434,85;34,81;112;41;366,07;4,2;87,16;93,52;7;43;west;
47;Oldenburg (Oldenburg), Stadt;2012;12,52;41,99;6,51;53,27;17,87;2352,82;1540,52;528,44;495,08;10,47;103;111;1077,67;3,03;355,67;95,75;10,5;36,1;west;885,82
48;Osnabrück, Stadt;2012;22,05;42,14;5,94;53,3;16,9;2324,18;1299,04;688,92;479,69;17,07;120;122;1016,67;6,01;169,16;91,98;12,4;33,2;west;2042,24
49;Wilhelmshaven, Stadt;2012;22,84;45,8;4,68;61,9;7,34;2287,06;715,98;241,36;482,81;14,51;107;46;429,91;8,36;51,42;94,56;8,6;66,8;west;1137,15
50;Ammerland;2012;28,61;43,65;5,48;62,62;7,78;2158,59;162,68;349,47;584,64;25,15;728;56;76,92;5,68;13,54;61,79;6,5;80,4;west;717,18
51;Aurich;2012;20,52;43,63;4,82;64,75;5,91;1878,39;145,01;745,01;543,14;19,57;1287;79;61,38;22,8;2,69;57,15;3,7;74,7;west;707,56
52;Cloppenburg;2012;39,35;39,65;5,02;58,92;4,69;1987,42;112,83;484,43;519,6;32,86;1418;82;57,83;20,34;2,84;47,18;3,3;83,5;west;1931,32
53;Emsland;2012;44,19;41,43;4,98;67,87;7,21;2166,29;108,55;475,52;548,05;32,79;2882;175;60,72;16,46;3,69;57,55;5,2;65,1;west;1956,08
54;Friesland;2012;24,88;45,37;4,4;64,75;7,08;2091,47;160,1;156,3;596,87;20,72;608;41;67,43;9,72;6,94;69,12;4,6;79,4;west;3832,5
